iucn_cat,puid
Not Reported,1974
Not Reported,1975
Not Reported,1976
Not Reported,1977
Not Reported,1978
Not Reported,1979
Not Reported,1980
Not Reported,1981
Not Reported,1982
Not Reported,1983
Not Reported,1984
Not Reported,1985
Not Reported,1986
Not Reported,1987
Not Reported,1988
Not Reported,1989
Not Reported,1990
Not Reported,1991
Not Reported,2113
Not Reported,2114
Not Reported,2115
Not Reported,2116
Not Reported,2117
Not Reported,2118
Not Reported,2119
Not Reported,2120
Not Reported,2121
Not Reported,2122
Not Reported,2123
Not Reported,2124
Not Reported,2125
Not Reported,2126
Not Reported,2127
Not Reported,2128
Not Reported,2129
Not Reported,2130
Not Reported,2131
Not Reported,2132
Not Reported,2133
Not Reported,2134
Not Reported,2135
Not Reported,2136
Not Reported,2137
Not Reported,2138
Not Reported,2139
Not Reported,2140
Not Reported,2264
Not Reported,2265
Not Reported,2266
Not Reported,2267
Not Reported,2268
Not Reported,2269
Not Reported,2270
Not Reported,2271
Not Reported,2272
Not Reported,2273
Not Reported,2274
Not Reported,2275
Not Reported,2276
Not Reported,2277
Not Reported,2278
Not Reported,2279
Not Reported,2280
Not Reported,2281
Not Reported,2282
Not Reported,2283
Not Reported,2284
Not Reported,2285
Not Reported,2286
Not Reported,2287
Not Reported,2288
Not Reported,2289
Not Reported,2418
Not Reported,2419
Not Reported,2420
Not Reported,2421
Not Reported,2422
Not Reported,2423
Not Reported,2424
Not Reported,2425
Not Reported,2426
Not Reported,2427
Not Reported,2428
Not Reported,2429
Not Reported,2430
Not Reported,2431
Not Reported,2432
Not Reported,2433
Not Reported,2434
Not Reported,2435
Not Reported,2436
Not Reported,2437
Not Reported,2571
Not Reported,2572
Not Reported,2573
Not Reported,2574
Not Reported,2575
Not Reported,2576
Not Reported,2577
Not Reported,2578
Not Reported,2579
Not Reported,2580
Not Reported,2581
Not Reported,2582
Not Reported,2583
Not Reported,2584
Not Reported,2585
Not Reported,2586
Not Reported,2722
Not Reported,2723
Not Reported,2724
Not Reported,2725
Not Reported,2726
Not Reported,2727
Not Reported,2728
Not Reported,2729
Not Reported,2730
Not Reported,2731
Not Reported,2732
Not Reported,2733
Not Reported,2734
Not Reported,2735
Not Reported,2872
Not Reported,2873
Not Reported,2874
Not Reported,2875
Not Reported,2876
Not Reported,2877
Not Reported,2878
Not Reported,2879
Not Reported,2880
Not Reported,2881
Not Reported,2882
Not Reported,2883
Not Reported,3023
Not Reported,3024
Not Reported,3025
Not Reported,3026
Not Reported,3027
Not Reported,3028
Not Reported,3029
Not Reported,3030
Not Reported,3031
Not Reported,3032
Not Reported,3173
Not Reported,3174
Not Reported,3175
Not Reported,3176
Not Reported,3177
Not Reported,3178
Not Reported,3179
Not Reported,3323
Not Reported,3324
Not Reported,3325
Not Reported,3326
Not Reported,3474
Not Reported,4366
Not Reported,4367
Not Reported,4368
Not Reported,4369
Not Reported,4370
Not Reported,4504
Not Reported,4505
Not Reported,4506
Not Reported,4507
Not Reported,4508
Not Reported,4509
Not Reported,4642
Not Reported,4643
Not Reported,4644
Not Reported,4645
Not Reported,4646
Not Reported,4647
Not Reported,4648
Not Reported,4649
Not Reported,4781
Not Reported,4782
Not Reported,4783
Not Reported,4784
Not Reported,4785
Not Reported,4786
Not Reported,4787
Not Reported,4788
Not Reported,4914
Not Reported,4915
Not Reported,4916
Not Reported,4917
Not Reported,4918
Not Reported,4919
Not Reported,4920
Not Reported,4921
Not Reported,4922
Not Reported,5053
Not Reported,5054
Not Reported,5055
Not Reported,5056
Not Reported,5057
Not Reported,5058
Not Reported,5059
Not Reported,5060
Not Reported,5061
Not Reported,5062
Not Reported,5192
Not Reported,5193
Not Reported,5194
Not Reported,5195
Not Reported,5196
Not Reported,5197
Not Reported,5198
Not Reported,5199
Not Reported,5200
Not Reported,5201
Not Reported,5329
Not Reported,5330
Not Reported,5331
Not Reported,5332
Not Reported,5333
Not Reported,5334
Not Reported,5335
Not Reported,5336
Not Reported,5337
Not Reported,5338
Not Reported,5339
Not Reported,5469
Not Reported,5470
Not Reported,5471
Not Reported,5472
Not Reported,5473
Not Reported,5474
Not Reported,5475
Not Reported,5476
Not Reported,5477
Not Reported,5609
Not Reported,5610
Not Reported,5611
Not Reported,5612
Not Reported,5613
Not Reported,5614
Not Reported,5615
Not Reported,5616
Not Reported,5753
Not Reported,5754
Not Reported,5755
Not Reported,5756
Not Reported,5757
Not Reported,5902
Not Reported,5903
Not Reported,5904
