id,cost,status
62948,4120,0
62949,14243,0
62950,473305,0
62951,450363,0
62952,51513,0
62971,38703,0
62972,138420,0
62973,119311,0
62974,52460,0
62975,6020,0
62976,2269,0
62978,3671,0
62979,4141,0
62984,102,0
62997,162,0
62998,157,0
62999,1614,0
63000,255,0
63008,1212,0
63009,27836,0
63010,3334,0
63011,15021,0
63013,10679,0
63174,59129,0
63177,30481,0
63553,895,0
63554,26920,0
63555,54181,0
63564,33783,0
63565,110554,0
63596,16084,0
63597,100,0
63606,1003,0
63607,14018,0
63608,1921,0
63792,100,0
63800,8249,0
63801,56862,0
63802,367601,0
63803,154409,0
63804,11658,0
63810,2986,0
63811,226324,0
63812,61228,0
63813,12197,0
63815,11448,0
63816,22413,0
63817,6701,0
63831,13997,0
63839,6805,0
63840,2259,0
63841,1840,0
63842,7432,0
63862,102642,0
63863,41690,0
63864,8120,0
63869,100,0
63870,130,0
63888,112,0
63899,21889,0
63900,53874,0
63901,64784,2
63902,18290,0
63903,15432,0
63904,19431,0
64006,17786,0
64007,5937,0
64008,10369,0
64023,33204,0
64082,77008,0
64443,7073,0
64444,14253,0
64445,1583,0
64454,33793,0
64455,22341,0
64487,52590,0
64488,5290,0
64499,20200,0
64500,9933,0
64685,100,0
64691,39077,0
64692,25442,0
64693,9356,0
64694,7045,0
64695,166241,0
64696,58006,0
64699,3367,0
64700,15640,0
64702,97192,0
64703,41109,0
64705,2480,0
64706,5063,0
64707,10312,0
64708,16027,0
64709,11645,0
64710,22347,0
64711,29603,0
64712,33733,0
64713,24302,0
64714,63883,0
64715,4054,0
64716,33697,0
64717,3037,0
64733,109,0
64752,55596,0
64753,79969,0
64754,2739,0
64778,155,0
64779,1656,0
64789,2956,0
64790,7352,0
64791,31903,0
64792,7949,0
64794,1301,0
64795,3658,0
64896,3015,0
64897,12832,0
64898,6368,0
64899,2779,0
64900,10094,0
64901,68471,0
64902,144187,0
64914,18278,0
64960,3495,0
64971,30354,0
64972,109404,0
64973,16604,0
65328,6191,0
65329,53426,0
65330,51636,0
65331,32917,0
65332,42053,0
65333,43352,0
65334,39438,0
